disease name,lncRNA name,score,Rank
Alzheimer's disease,KCNQ1OT1,0.74,14
Alzheimer's disease,GAS5,0.73,15
Alzheimer's disease,NALT1,0.726,16
Alzheimer's disease,MCHR2-AS1,0.708,17
Alzheimer's disease,UCA1,0.704,18
Alzheimer's disease,SPRY4-IT1,0.702,19
Alzheimer's disease,HOTAIR,0.702,20
Alzheimer's disease,ESRG,0.696,21
Alzheimer's disease,ERICH1-AS1,0.688,22
Alzheimer's disease,LINC01628,0.688,23
Alzheimer's disease,HCG9,0.664,24
Alzheimer's disease,IGF2-AS,0.664,25
Alzheimer's disease,LINCMD1,0.658,26
Alzheimer's disease,HNF1A-AS1,0.658,27
Alzheimer's disease,MIR155HG,0.652,28
Alzheimer's disease,CCAT2,0.652,29
Alzheimer's disease,NEAT1,0.65,30
open-angle glaucoma,H19,0.81,1
open-angle glaucoma,MIR17HG,0.39,2
open-angle glaucoma,MALAT1,0.378,3
open-angle glaucoma,HOTAIR,0.36,4
open-angle glaucoma,MEG3,0.31,5
open-angle glaucoma,KCNQ1OT1,0.222,6
open-angle glaucoma,GAS5,0.216,7
open-angle glaucoma,XIST,0.21,8
open-angle glaucoma,PCA3,0.186,9
open-angle glaucoma,CCDC26,0.164,10
open-angle glaucoma,DANCR,0.152,11
open-angle glaucoma,DLEU2,0.14,12
open-angle glaucoma,LINC00163,0.128,13
open-angle glaucoma,PVT1,0.118,14
open-angle glaucoma,MIR100HG,0.116,15
open-angle glaucoma,HYMAI,0.11,16
open-angle glaucoma,RMST,0.104,17
open-angle glaucoma,HULC,0.098,18
open-angle glaucoma,AFAP1-AS1,0.09,19
open-angle glaucoma,DISC2,0.09,20
open-angle glaucoma,GSTT1-AS1,0.09,21
open-angle glaucoma,TP53COR1,0.088,22
open-angle glaucoma,BCYRN1,0.084,23
open-angle glaucoma,BANCR,0.078,24
open-angle glaucoma,ESRG,0.076,25
open-angle glaucoma,MIAT,0.076,26
open-angle glaucoma,PCGEM1,0.076,27
open-angle glaucoma,CDKN2A-AS1,0.064,28
open-angle glaucoma,WT1-AS,0.064,29
open-angle glaucoma,MIR155HG,0.06,30
primary open angle glaucoma,H19,0.81,1
primary open angle glaucoma,MIR17HG,0.39,2
primary open angle glaucoma,MALAT1,0.378,3
primary open angle glaucoma,HOTAIR,0.36,4
primary open angle glaucoma,MEG3,0.31,5
primary open angle glaucoma,KCNQ1OT1,0.222,6
primary open angle glaucoma,GAS5,0.216,7
primary open angle glaucoma,XIST,0.21,8
primary open angle glaucoma,PCA3,0.186,9
primary open angle glaucoma,CCDC26,0.164,10
primary open angle glaucoma,DANCR,0.152,11
primary open angle glaucoma,DLEU2,0.14,12
primary open angle glaucoma,LINC00163,0.128,13
primary open angle glaucoma,PVT1,0.118,14
primary open angle glaucoma,MIR100HG,0.116,15
primary open angle glaucoma,HYMAI,0.11,16
primary open angle glaucoma,RMST,0.104,17
primary open angle glaucoma,HULC,0.098,18
primary open angle glaucoma,AFAP1-AS1,0.09,19
primary open angle glaucoma,DISC2,0.09,20
primary open angle glaucoma,GSTT1-AS1,0.09,21
primary open angle glaucoma,TP53COR1,0.088,22
primary open angle glaucoma,BCYRN1,0.084,23
primary open angle glaucoma,BANCR,0.078,24
primary open angle glaucoma,ESRG,0.076,25
primary open angle glaucoma,MIAT,0.076,26
primary open angle glaucoma,PCGEM1,0.076,27
primary open angle glaucoma,CDKN2A-AS1,0.064,28
primary open angle glaucoma,WT1-AS,0.064,29
primary open angle glaucoma,MIR155HG,0.06,30
kidney failure,MIR17HG,0.718,1
kidney failure,MALAT1,0.694,2
kidney failure,CDKN2B-AS1,0.69,3
kidney failure,NEAT1,0.684,4
kidney failure,GAS5,0.68,5
kidney failure,KCNQ1OT1,0.66,6
kidney failure,HCP5,0.642,7
kidney failure,MEG3,0.62,8
kidney failure,HOTAIR,0.608,9
kidney failure,H19,0.576,10
kidney failure,XIST,0.558,11
kidney failure,PCA3,0.536,12
kidney failure,MIR155HG,0.524,13
kidney failure,MIAT,0.514,14
kidney failure,ESRG,0.502,15
kidney failure,ATXN8OS,0.496,16
kidney failure,TP53COR1,0.48,17
kidney failure,DISC2,0.378,18
kidney failure,HULC,0.368,19
kidney failure,IGF2-AS,0.35,20
kidney failure,PISRT1,0.346,21
kidney failure,BANCR,0.338,22
kidney failure,AFAP1-AS1,0.33,23
kidney failure,BCYRN1,0.304,24
kidney failure,TUG1,0.302,25
kidney failure,CDKN2A-AS1,0.292,26
kidney failure,DANCR,0.29,27
kidney failure,LINC01556,0.29,28
kidney failure,PCGEM1,0.29,29
kidney failure,DLEU2,0.282,30
hypertension,HOTAIR,0.864,1
hypertension,CDKN2B-AS1,0.822,2
hypertension,MEG3,0.78,3
hypertension,KCNQ1OT1,0.748,4
hypertension,MIR17HG,0.702,5
hypertension,PVT1,0.67,6
hypertension,GAS5,0.55,7
hypertension,NEAT1,0.498,8
hypertension,XIST,0.358,9
hypertension,ESRG,0.35,10
hypertension,HCP5,0.344,11
hypertension,MIR155HG,0.33,12
hypertension,AFAP1-AS1,0.308,13
hypertension,PCA3,0.284,14
hypertension,BANCR,0.272,15
hypertension,MIAT,0.252,16
hypertension,LINC01556,0.252,17
hypertension,TP53COR1,0.25,18
hypertension,GNAS-AS1,0.236,19
hypertension,LINC00474,0.232,20
hypertension,HULC,0.23,21
hypertension,DANCR,0.212,22
hypertension,BCYRN1,0.196,23
hypertension,IGF2-AS,0.194,24
hypertension,DISC2,0.172,25
hypertension,ATXN8OS,0.17,26
hypertension,LINC00675,0.17,27
hypertension,TUG1,0.164,28
hypertension,LINCMD1,0.154,29
hypertension,GSTT1-AS1,0.148,30
tooth disease,H19,0.812,1
tooth disease,MIR17HG,0.404,2
tooth disease,MALAT1,0.386,3
tooth disease,HOTAIR,0.354,4
tooth disease,MEG3,0.31,5
tooth disease,KCNQ1OT1,0.224,6
tooth disease,XIST,0.222,7
tooth disease,GAS5,0.22,8
tooth disease,PCA3,0.188,9
tooth disease,CCDC26,0.166,10
tooth disease,PVT1,0.164,11
tooth disease,DANCR,0.144,12
tooth disease,DLEU2,0.144,13
tooth disease,LINC00163,0.124,14
tooth disease,MIR100HG,0.106,15
tooth disease,RMST,0.1,16
tooth disease,HYMAI,0.098,17
tooth disease,HULC,0.094,18
tooth disease,TP53COR1,0.092,19
tooth disease,AFAP1-AS1,0.09,20
tooth disease,BCYRN1,0.09,21
tooth disease,GSTT1-AS1,0.088,22
tooth disease,DISC2,0.086,23
tooth disease,MIAT,0.082,24
tooth disease,BANCR,0.08,25
tooth disease,ESRG,0.074,26
tooth disease,WT1-AS,0.07,27
tooth disease,MIR155HG,0.068,28
tooth disease,PCGEM1,0.068,29
tooth disease,CDKN2A-AS1,0.068,30
intracranial aneurysm,H19,0.87,1
intracranial aneurysm,MIR17HG,0.626,2
intracranial aneurysm,MALAT1,0.602,3
intracranial aneurysm,MEG3,0.54,4
intracranial aneurysm,KCNQ1OT1,0.538,5
intracranial aneurysm,HOTAIR,0.496,6
intracranial aneurysm,MIAT,0.49,7
intracranial aneurysm,TP53COR1,0.466,8
intracranial aneurysm,PVT1,0.442,9
intracranial aneurysm,HCP5,0.408,10
intracranial aneurysm,XIST,0.388,11
intracranial aneurysm,PCA3,0.374,12
intracranial aneurysm,MIR155HG,0.366,13
intracranial aneurysm,DISC2,0.35,14
intracranial aneurysm,ATXN8OS,0.318,15
intracranial aneurysm,GAS5,0.3,16
intracranial aneurysm,CDKN2A-AS1,0.292,17
intracranial aneurysm,BCYRN1,0.284,18
intracranial aneurysm,BANCR,0.254,19
intracranial aneurysm,NEAT1,0.244,20
intracranial aneurysm,DLEU2,0.228,21
intracranial aneurysm,LINCMD1,0.226,22
intracranial aneurysm,MIR100HG,0.206,23
intracranial aneurysm,LINC01556,0.202,24
intracranial aneurysm,RMST,0.196,25
intracranial aneurysm,MCHR2-AS1,0.192,26
intracranial aneurysm,DANCR,0.19,27
intracranial aneurysm,HULC,0.188,28
intracranial aneurysm,CCDC26,0.18,29
intracranial aneurysm,NRON,0.168,30
nephritis,ATXN8OS,0.522,1
nephritis,DANCR,0.478,2
nephritis,LINCMD1,0.436,3
nephritis,BCYRN1,0.416,4
nephritis,KCNQ1OT1,0.404,5
nephritis,HCP5,0.396,6
nephritis,AFAP1-AS1,0.374,7
nephritis,MIAT,0.362,8
nephritis,GSTT1-AS1,0.362,9
nephritis,MIF-AS1,0.336,10
nephritis,TP53COR1,0.334,11
nephritis,THRIL,0.328,12
nephritis,PCA3,0.324,13
nephritis,ESRG,0.324,14
nephritis,PVT1,0.324,15
nephritis,CDKN2A-AS1,0.316,16
nephritis,NEAT1,0.306,17
nephritis,MIR155HG,0.306,18
nephritis,PISRT1,0.3,19
nephritis,MIR17HG,0.298,20
nephritis,MEG3,0.278,21
nephritis,CDKN2B-AS1,0.278,22
nephritis,LINC00163,0.272,23
nephritis,LINC00299,0.268,24
nephritis,DISC2,0.268,25
nephritis,GAS5,0.266,26
nephritis,H19,0.264,27
nephritis,IL12A-AS1,0.252,28
nephritis,MIR100HG,0.25,29
nephritis,TUG1,0.248,30
membranous glomerulonephritis,ATXN8OS,0.522,1
membranous glomerulonephritis,DANCR,0.464,2
membranous glomerulonephritis,KCNQ1OT1,0.418,3
membranous glomerulonephritis,BCYRN1,0.404,4
membranous glomerulonephritis,LINCMD1,0.4,5
membranous glomerulonephritis,HCP5,0.388,6
membranous glomerulonephritis,AFAP1-AS1,0.366,7
membranous glomerulonephritis,PVT1,0.356,8
membranous glomerulonephritis,MIAT,0.33,9
membranous glomerulonephritis,TP53COR1,0.328,10
membranous glomerulonephritis,MIR17HG,0.328,11
membranous glomerulonephritis,GSTT1-AS1,0.328,12
membranous glomerulonephritis,PCA3,0.322,13
membranous glomerulonephritis,MEG3,0.312,14
membranous glomerulonephritis,NEAT1,0.312,15
membranous glomerulonephritis,ESRG,0.304,16
membranous glomerulonephritis,GAS5,0.302,17
membranous glomerulonephritis,MIR155HG,0.302,18
membranous glomerulonephritis,CDKN2A-AS1,0.298,19
membranous glomerulonephritis,MIF-AS1,0.296,20
membranous glomerulonephritis,CDKN2B-AS1,0.286,21
membranous glomerulonephritis,LINC00163,0.28,22
membranous glomerulonephritis,H19,0.276,23
membranous glomerulonephritis,THRIL,0.274,24
membranous glomerulonephritis,PISRT1,0.264,25
membranous glomerulonephritis,TUG1,0.254,26
membranous glomerulonephritis,HOTAIR,0.252,27
membranous glomerulonephritis,LINC00299,0.25,28
membranous glomerulonephritis,DISC2,0.246,29
membranous glomerulonephritis,HULC,0.234,30
ovarian disease,CDKN2B-AS1,0.72,1
ovarian disease,HOTAIR,0.41,2
ovarian disease,MEG3,0.344,3
ovarian disease,KCNQ1OT1,0.272,4
ovarian disease,MIR17HG,0.27,5
ovarian disease,MALAT1,0.26,6
ovarian disease,PVT1,0.228,7
ovarian disease,XIST,0.212,8
ovarian disease,PCA3,0.174,9
ovarian disease,GAS5,0.168,10
ovarian disease,CCDC26,0.156,11
ovarian disease,GNAS-AS1,0.15,12
ovarian disease,LINC00474,0.148,13
ovarian disease,AFAP1-AS1,0.146,14
ovarian disease,DANCR,0.146,15
ovarian disease,LINC00163,0.12,16
ovarian disease,NEAT1,0.096,17
ovarian disease,DLEU2,0.096,18
ovarian disease,GSTT1-AS1,0.092,19
ovarian disease,MIR100HG,0.092,20
ovarian disease,LINC01556,0.07,21
ovarian disease,BANCR,0.064,22
ovarian disease,PCGEM1,0.062,23
ovarian disease,HYMAI,0.06,24
ovarian disease,LINC00299,0.056,25
ovarian disease,BCYRN1,0.054,26
ovarian disease,LINC00675,0.054,27
ovarian disease,IGF2-AS,0.048,28
ovarian disease,HULC,0.044,29
ovarian disease,WT1-AS,0.044,30
urinary bladder cancer,KCNQ1OT1,0.9,1
urinary bladder cancer,NEAT1,0.88,2
urinary bladder cancer,SPRY4-IT1,0.854,3
urinary bladder cancer,WT1-AS,0.85,4
urinary bladder cancer,BANCR,0.818,5
urinary bladder cancer,CCAT2,0.796,6
urinary bladder cancer,TUSC7,0.774,7
urinary bladder cancer,IGF2-AS,0.736,8
urinary bladder cancer,HULC,0.724,9
urinary bladder cancer,MIR17HG,0.72,10
urinary bladder cancer,MIR155HG,0.676,11
urinary bladder cancer,BCYRN1,0.67,12
urinary bladder cancer,HOTTIP,0.658,13
urinary bladder cancer,CCAT1,0.642,14
urinary bladder cancer,TP53COR1,0.628,15
urinary bladder cancer,HOTAIRM1,0.604,16
urinary bladder cancer,HNF1A-AS1,0.594,17
urinary bladder cancer,SNHG4,0.584,18
urinary bladder cancer,LSINCT5,0.552,19
urinary bladder cancer,PCA3,0.546,20
urinary bladder cancer,CASC2,0.542,21
urinary bladder cancer,CRNDE,0.542,22
urinary bladder cancer,LINC00675,0.542,23
urinary bladder cancer,CCDC26,0.53,24
urinary bladder cancer,PRNCR1,0.528,25
urinary bladder cancer,DLEU2,0.526,26
urinary bladder cancer,ESRG,0.512,27
urinary bladder cancer,SNHG12,0.51,28
urinary bladder cancer,DANCR,0.508,29
urinary bladder cancer,KIRREL3-AS3,0.488,30
esophageal carcinoma,MALAT1,0.78,1
esophageal carcinoma,KCNQ1OT1,0.716,2
esophageal carcinoma,GAS5,0.714,3
esophageal carcinoma,CCAT2,0.696,4
esophageal carcinoma,MIR17HG,0.68,5
esophageal carcinoma,BCYRN1,0.676,6
esophageal carcinoma,XIST,0.658,7
esophageal carcinoma,UCA1,0.652,8
esophageal carcinoma,PVT1,0.65,9
esophageal carcinoma,HCP5,0.648,10
esophageal carcinoma,NEAT1,0.644,11
esophageal carcinoma,MIR155HG,0.63,12
esophageal carcinoma,AFAP1-AS1,0.624,13
esophageal carcinoma,ESRG,0.602,14
esophageal carcinoma,TUG1,0.598,15
esophageal carcinoma,IGF2-AS,0.594,16
esophageal carcinoma,MIAT,0.58,17
esophageal carcinoma,LINC00675,0.576,18
esophageal carcinoma,BANCR,0.572,19
esophageal carcinoma,KIRREL3-AS3,0.572,20
esophageal carcinoma,HULC,0.57,21
esophageal carcinoma,TP53COR1,0.566,22
esophageal carcinoma,CCAT1,0.562,23
esophageal carcinoma,DISC2,0.56,24
esophageal carcinoma,HOTTIP,0.554,25
esophageal carcinoma,ATXN8OS,0.548,26
esophageal carcinoma,CDKN2A-AS1,0.534,27
esophageal carcinoma,WT1-AS,0.534,28
esophageal carcinoma,SNHG12,0.534,29
esophageal carcinoma,PCA3,0.526,30
sarcoma,H19,0.966,1
sarcoma,CDKN2B-AS1,0.922,2
sarcoma,MEG3,0.894,3
sarcoma,MIR17HG,0.878,4
sarcoma,GAS5,0.822,5
sarcoma,KCNQ1OT1,0.822,6
sarcoma,PVT1,0.808,7
sarcoma,NEAT1,0.804,8
sarcoma,HCP5,0.62,9
sarcoma,MIR155HG,0.566,10
sarcoma,BANCR,0.524,11
sarcoma,ESRG,0.476,12
sarcoma,HULC,0.466,13
sarcoma,XIST,0.466,14
sarcoma,TUG1,0.452,15
sarcoma,MIAT,0.438,16
sarcoma,AFAP1-AS1,0.436,17
sarcoma,PCA3,0.402,18
sarcoma,TP53COR1,0.4,19
sarcoma,RMST,0.39,20
sarcoma,DISC2,0.38,21
sarcoma,BCYRN1,0.368,22
sarcoma,LINC00675,0.348,23
sarcoma,DANCR,0.34,24
sarcoma,HOTTIP,0.328,25
sarcoma,UCA1,0.314,26
sarcoma,LINCMD1,0.306,27
sarcoma,IGF2-AS,0.306,28
sarcoma,WT1-AS,0.304,29
sarcoma,LINC01556,0.294,30
heart disease,H19,0.822,1
heart disease,MALAT1,0.426,2
heart disease,MIR17HG,0.418,3
heart disease,HOTAIR,0.39,4
heart disease,MEG3,0.356,5
heart disease,KCNQ1OT1,0.25,6
heart disease,XIST,0.242,7
heart disease,GAS5,0.208,8
heart disease,PVT1,0.2,9
heart disease,PCA3,0.198,10
heart disease,CCDC26,0.176,11
heart disease,DANCR,0.152,12
heart disease,DLEU2,0.148,13
heart disease,LINC00163,0.122,14
heart disease,ESRG,0.118,15
heart disease,TP53COR1,0.108,16
heart disease,MIR100HG,0.106,17
heart disease,HULC,0.104,18
heart disease,HYMAI,0.104,19
heart disease,BANCR,0.102,20
heart disease,DISC2,0.098,21
heart disease,RMST,0.096,22
heart disease,AFAP1-AS1,0.094,23
heart disease,MIAT,0.092,24
heart disease,BCYRN1,0.09,25
heart disease,GSTT1-AS1,0.09,26
heart disease,CDKN2A-AS1,0.084,27
heart disease,MIR155HG,0.08,28
heart disease,HCP5,0.078,29
heart disease,WT1-AS,0.078,30
endometriosis of ovary,ATXN8OS,0.56,1
endometriosis of ovary,PISRT1,0.444,2
endometriosis of ovary,PCA3,0.442,3
endometriosis of ovary,THRIL,0.434,4
endometriosis of ovary,XIST,0.426,5
endometriosis of ovary,DANCR,0.39,6
endometriosis of ovary,TP53COR1,0.382,7
endometriosis of ovary,MIAT,0.352,8
endometriosis of ovary,CDKN2A-AS1,0.348,9
endometriosis of ovary,ESRG,0.34,10
endometriosis of ovary,MIF-AS1,0.336,11
endometriosis of ovary,DAOA-AS1,0.328,12
endometriosis of ovary,DISC2,0.326,13
endometriosis of ovary,MCHR2-AS1,0.32,14
endometriosis of ovary,IL12A-AS1,0.316,15
endometriosis of ovary,GSTT1-AS1,0.314,16
endometriosis of ovary,HCP5,0.302,17
endometriosis of ovary,AFAP1-AS1,0.294,18
endometriosis of ovary,TP53TG1,0.28,19
endometriosis of ovary,PCGEM1,0.276,20
endometriosis of ovary,LINC00163,0.272,21
endometriosis of ovary,MIR100HG,0.268,22
endometriosis of ovary,CCDC26,0.264,23
endometriosis of ovary,DLEU2,0.264,24
endometriosis of ovary,HULC,0.26,25
endometriosis of ovary,GNAS-AS1,0.254,26
endometriosis of ovary,IFNG-AS1,0.246,27
endometriosis of ovary,NRON,0.242,28
endometriosis of ovary,PVT1,0.242,29
endometriosis of ovary,LINC01080,0.238,30
osteoporosis,XIST,0.49,1
osteoporosis,PCA3,0.426,2
osteoporosis,KCNQ1OT1,0.374,3
osteoporosis,HULC,0.368,4
osteoporosis,HCP5,0.364,5
osteoporosis,AFAP1-AS1,0.362,6
osteoporosis,MIR17HG,0.352,7
osteoporosis,LINCMD1,0.346,8
osteoporosis,TP53COR1,0.342,9
osteoporosis,H19,0.336,10
osteoporosis,PVT1,0.336,11
osteoporosis,CDKN2B-AS1,0.326,12
osteoporosis,MEG3,0.308,13
osteoporosis,ATXN8OS,0.306,14
osteoporosis,GSTT1-AS1,0.302,15
osteoporosis,HOTAIR,0.3,16
osteoporosis,MALAT1,0.296,17
osteoporosis,HOTTIP,0.278,18
osteoporosis,GAS5,0.272,19
osteoporosis,MIAT,0.268,20
osteoporosis,ESRG,0.26,21
osteoporosis,THRIL,0.258,22
osteoporosis,NEAT1,0.25,23
osteoporosis,MIR155HG,0.25,24
osteoporosis,RMST,0.246,25
osteoporosis,BCYRN1,0.242,26
osteoporosis,CTBP1-AS,0.23,27
osteoporosis,IGF2-AS,0.222,28
osteoporosis,LINC00163,0.216,29
osteoporosis,LINC00675,0.216,30
polycystic ovary syndrome,PCA3,0.576,1
polycystic ovary syndrome,PCGEM1,0.474,2
polycystic ovary syndrome,DANCR,0.442,3
polycystic ovary syndrome,PVT1,0.436,4
polycystic ovary syndrome,XIST,0.406,5
polycystic ovary syndrome,H19,0.396,6
polycystic ovary syndrome,THRIL,0.394,7
polycystic ovary syndrome,CDKN2B-AS1,0.392,8
polycystic ovary syndrome,MIR17HG,0.388,9
polycystic ovary syndrome,GSTT1-AS1,0.376,10
polycystic ovary syndrome,LINC00474,0.374,11
polycystic ovary syndrome,KCNQ1OT1,0.374,12
polycystic ovary syndrome,MEG3,0.372,13
polycystic ovary syndrome,LINCMD1,0.37,14
polycystic ovary syndrome,MALAT1,0.348,15
polycystic ovary syndrome,GNAS-AS1,0.34,16
polycystic ovary syndrome,MIF-AS1,0.34,17
polycystic ovary syndrome,ATXN8OS,0.33,18
polycystic ovary syndrome,HCP5,0.328,19
polycystic ovary syndrome,IL12A-AS1,0.32,20
polycystic ovary syndrome,RMST,0.32,21
polycystic ovary syndrome,LINC00163,0.308,22
polycystic ovary syndrome,IGF2-AS,0.298,23
polycystic ovary syndrome,HOTAIR,0.296,24
polycystic ovary syndrome,TP53COR1,0.284,25
polycystic ovary syndrome,CCDC26,0.284,26
polycystic ovary syndrome,GAS5,0.278,27
polycystic ovary syndrome,ESRG,0.266,28
polycystic ovary syndrome,HYMAI,0.264,29
polycystic ovary syndrome,PISRT1,0.262,30
heart cancer,CDKN2B-AS1,0.644,1
heart cancer,HOTAIR,0.338,2
heart cancer,MIR17HG,0.214,3
heart cancer,KCNQ1OT1,0.212,4
heart cancer,MALAT1,0.208,5
heart cancer,PVT1,0.196,6
heart cancer,XIST,0.188,7
heart cancer,MEG3,0.182,8
heart cancer,PCA3,0.17,9
heart cancer,CCDC26,0.154,10
heart cancer,GNAS-AS1,0.15,11
heart cancer,AFAP1-AS1,0.148,12
heart cancer,LINC00474,0.148,13
heart cancer,DANCR,0.148,14
heart cancer,GAS5,0.14,15
heart cancer,LINC00163,0.122,16
heart cancer,DLEU2,0.096,17
heart cancer,GSTT1-AS1,0.096,18
heart cancer,MIR100HG,0.092,19
heart cancer,NEAT1,0.076,20
heart cancer,LINC01556,0.07,21
heart cancer,PCGEM1,0.062,22
heart cancer,BANCR,0.06,23
heart cancer,HYMAI,0.06,24
heart cancer,LINC00299,0.058,25
heart cancer,LINC00675,0.058,26
heart cancer,BCYRN1,0.05,27
heart cancer,HULC,0.048,28
heart cancer,IGF2-AS,0.046,29
heart cancer,WT1-AS,0.046,30
neonatal diabetes mellitus,CDKN2B-AS1,0.492,1
neonatal diabetes mellitus,H19,0.484,2
neonatal diabetes mellitus,PCA3,0.432,3
neonatal diabetes mellitus,MEG3,0.406,4
neonatal diabetes mellitus,LINC01556,0.402,5
neonatal diabetes mellitus,MALAT1,0.402,6
neonatal diabetes mellitus,MIF-AS1,0.392,7
neonatal diabetes mellitus,THRIL,0.38,8
neonatal diabetes mellitus,PVT1,0.378,9
neonatal diabetes mellitus,GSTT1-AS1,0.376,10
neonatal diabetes mellitus,XIST,0.366,11
neonatal diabetes mellitus,TP53TG1,0.364,12
neonatal diabetes mellitus,GNAS-AS1,0.36,13
neonatal diabetes mellitus,MIR17HG,0.342,14
neonatal diabetes mellitus,KCNQ1OT1,0.342,15
neonatal diabetes mellitus,LINCMD1,0.34,16
neonatal diabetes mellitus,MCHR2-AS1,0.34,17
neonatal diabetes mellitus,CCDC26,0.34,18
neonatal diabetes mellitus,HOTAIR,0.336,19
neonatal diabetes mellitus,LINC00163,0.332,20
neonatal diabetes mellitus,DISC2,0.33,21
neonatal diabetes mellitus,LINC00474,0.326,22
neonatal diabetes mellitus,IL12A-AS1,0.322,23
neonatal diabetes mellitus,LINC00299,0.308,24
neonatal diabetes mellitus,ESRG,0.3,25
neonatal diabetes mellitus,NRON,0.284,26
neonatal diabetes mellitus,DANCR,0.282,27
neonatal diabetes mellitus,DLEU2,0.274,28
neonatal diabetes mellitus,ATXN8OS,0.274,29
neonatal diabetes mellitus,RMST,0.272,30
Duchenne muscular dystrophy,ATXN8OS,0.546,1
Duchenne muscular dystrophy,PISRT1,0.428,2
Duchenne muscular dystrophy,PCA3,0.418,3
Duchenne muscular dystrophy,XIST,0.416,4
Duchenne muscular dystrophy,THRIL,0.37,5
Duchenne muscular dystrophy,TP53COR1,0.354,6
Duchenne muscular dystrophy,DANCR,0.354,7
Duchenne muscular dystrophy,MIAT,0.342,8
Duchenne muscular dystrophy,CDKN2A-AS1,0.322,9
Duchenne muscular dystrophy,ESRG,0.316,10
Duchenne muscular dystrophy,DISC2,0.314,11
Duchenne muscular dystrophy,HCP5,0.312,12
Duchenne muscular dystrophy,DAOA-AS1,0.302,13
Duchenne muscular dystrophy,MCHR2-AS1,0.28,14
Duchenne muscular dystrophy,LINC00163,0.278,15
Duchenne muscular dystrophy,AFAP1-AS1,0.276,16
Duchenne muscular dystrophy,IL12A-AS1,0.272,17
Duchenne muscular dystrophy,MIF-AS1,0.264,18
